"No.","Time","Source","Destination","Protocol","Length","Info"
"91","1.097237","1.1.1","host","USB","31","URB_INTERRUPT in"
"92","1.097297","host","1.1.1","USB","27","URB_INTERRUPT in"
"93","1.105401","1.1.1","host","USB","31","URB_INTERRUPT in"
"94","1.105464","host","1.1.1","USB","27","URB_INTERRUPT in"
"95","1.113616","1.1.1","host","USB","31","URB_INTERRUPT in"
"96","1.113676","host","1.1.1","USB","27","URB_INTERRUPT in"
"97","1.121337","1.1.1","host","USB","31","URB_INTERRUPT in"
"98","1.121452","host","1.1.1","USB","27","URB_INTERRUPT in"
"99","1.129245","1.1.1","host","USB","31","URB_INTERRUPT in"
"100","1.129305","host","1.1.1","USB","27","URB_INTERRUPT in"
"101","1.137230","1.1.1","host","USB","31","URB_INTERRUPT in"
"102","1.137290","host","1.1.1","USB","27","URB_INTERRUPT in"
"103","1.145616","1.1.1","host","USB","31","URB_INTERRUPT in"
"104","1.145676","host","1.1.1","USB","27","URB_INTERRUPT in"
"105","1.153624","1.1.1","host","USB","31","URB_INTERRUPT in"
"106","1.153687","host","1.1.1","USB","27","URB_INTERRUPT in"
"107","1.161375","1.1.1","host","USB","31","URB_INTERRUPT in"
"108","1.161434","host","1.1.1","USB","27","URB_INTERRUPT in"
"109","1.169081","1.1.1","host","USB","31","URB_INTERRUPT in"
"110","1.169142","host","1.1.1","USB","27","URB_INTERRUPT in"
"111","1.177191","1.1.1","host","USB","31","URB_INTERRUPT in"
"112","1.177245","host","1.1.1","USB","27","URB_INTERRUPT in"
"113","1.185618","1.1.1","host","USB","31","URB_INTERRUPT in"
"114","1.185672","host","1.1.1","USB","27","URB_INTERRUPT in"
"115","1.193114","1.1.1","host","USB","31","URB_INTERRUPT in"
"116","1.193302","host","1.1.1","USB","27","URB_INTERRUPT in"
"117","1.201436","1.1.1","host","USB","31","URB_INTERRUPT in"
"118","1.201545","host","1.1.1","USB","27","URB_INTERRUPT in"
"119","1.209100","1.1.1","host","USB","31","URB_INTERRUPT in"
"120","1.209154","host","1.1.1","USB","27","URB_INTERRUPT in"
"121","1.217232","1.1.1","host","USB","31","URB_INTERRUPT in"
"122","1.217295","host","1.1.1","USB","27","URB_INTERRUPT in"
"123","1.225096","1.1.1","host","USB","31","URB_INTERRUPT in"
"124","1.225196","host","1.1.1","USB","27","URB_INTERRUPT in"
"125","1.233539","1.1.1","host","USB","31","URB_INTERRUPT in"
"126","1.233598","host","1.1.1","USB","27","URB_INTERRUPT in"
"127","1.241085","1.1.1","host","USB","31","URB_INTERRUPT in"
"128","1.241164","host","1.1.1","USB","27","URB_INTERRUPT in"
"129","1.249221","1.1.1","host","USB","31","URB_INTERRUPT in"
"130","1.249283","host","1.1.1","USB","27","URB_INTERRUPT in"
"131","1.257172","1.1.1","host","USB","31","URB_INTERRUPT in"
"132","1.257230","host","1.1.1","USB","27","URB_INTERRUPT in"
"133","1.265254","1.1.1","host","USB","31","URB_INTERRUPT in"
"134","1.265313","host","1.1.1","USB","27","URB_INTERRUPT in"
"135","1.273190","1.1.1","host","USB","31","URB_INTERRUPT in"
"136","1.273250","host","1.1.1","USB","27","URB_INTERRUPT in"
"137","1.289167","1.1.1","host","USB","31","URB_INTERRUPT in"
"138","1.289232","host","1.1.1","USB","27","URB_INTERRUPT in"
"139","1.305240","1.1.1","host","USB","31","URB_INTERRUPT in"
"140","1.305304","host","1.1.1","USB","27","URB_INTERRUPT in"
"141","1.321186","1.1.1","host","USB","31","URB_INTERRUPT in"
"142","1.321291","host","1.1.1","USB","27","URB_INTERRUPT in"
"143","1.329211","1.1.1","host","USB","31","URB_INTERRUPT in"
"144","1.329271","host","1.1.1","USB","27","URB_INTERRUPT in"
"145","1.337162","1.1.1","host","USB","31","URB_INTERRUPT in"
"146","1.337226","host","1.1.1","USB","27","URB_INTERRUPT in"
"147","1.353097","1.1.1","host","USB","31","URB_INTERRUPT in"
"148","1.353193","host","1.1.1","USB","27","URB_INTERRUPT in"
"149","1.361086","1.1.1","host","USB","31","URB_INTERRUPT in"
"150","1.361161","host","1.1.1","USB","27","URB_INTERRUPT in"
"151","1.369103","1.1.1","host","USB","31","URB_INTERRUPT in"
"152","1.369198","host","1.1.1","USB","27","URB_INTERRUPT in"
